Month,2017,2018,2019,2020,2021
January,0.0,54156.07,60143.12,52515.57000000001,41731.42
February,0.0,49685.28,59451.229999999996,58518.16999999999,45621.65
March,0.0,58872.55,77070.61,33063.659999999996,62648.56
April,0.0,51447.97,64712.869999999995,0.0,61265.67
May,0.0,52201.58,62557.090000000004,9517.199999999999,57543.31
June,0.0,52245.87,57682.84,39853.96,55396.75000000001
July,0.0,50897.56,55733.22,20483.449999999997,61034.03000000001
August,0.0,46924.7,61266.39,37261.07,39962.5
September,0.0,47204.24,53238.25000000001,37493.83,51337.740000000005
October,0.0,53939.81,55021.2,42479.369999999995,15115.039999999999
November,0.0,55281.39,49596.12,41911.16,0.0
December,54188.56999999999,60263.02,51855.14,44467.68000000001,0.0
Total,54188.56999999999,635138.04,710347.08,419585.12000000005,0.0
